"","X.1","X","Site_Name","Common_Name","Phenophase_Name","Observation_Date","Day_of_Year","Phenophase_Status","Intensity_Category_ID","Intensity_Value"
"291",7802,78464,"Site E","beach plum","Breaking leaf buds",2017-08-04,216,0,39,0
"292",7803,78465,"Site E","beach plum","Breaking leaf buds",2017-08-08,220,1,39,1
"293",7804,78466,"Site E","beach plum","Breaking leaf buds",2017-08-11,223,0,39,0
"294",7805,78467,"Site E","beach plum","Breaking leaf buds",2017-08-14,226,0,39,0
"295",7806,78468,"Site E","beach plum","Breaking leaf buds",2017-08-22,234,0,39,0
"296",7807,78469,"Site E","beach plum","Breaking leaf buds",2017-08-25,237,0,39,0
"297",7808,78470,"Site E","beach plum","Breaking leaf buds",2017-08-18,230,0,39,0
"298",7809,78471,"Site E","beach plum","Breaking leaf buds",2017-11-15,319,0,39,0
"299",7810,78472,"Site E","beach plum","Breaking leaf buds",2017-09-18,261,0,39,0
"300",7811,78473,"Site E","beach plum","Breaking leaf buds",2017-09-12,255,0,39,0
"302",7813,78475,"Site E","beach plum","Breaking leaf buds",2017-10-23,296,0,39,0
"421",7932,78594,"Site E","beach plum","Breaking leaf buds",2017-03-22,81,0,39,0
"422",7933,78595,"Site E","beach plum","Breaking leaf buds",2017-04-03,93,0,39,0
"423",7934,78596,"Site E","beach plum","Breaking leaf buds",2017-04-11,101,0,39,0
"424",7935,78597,"Site E","beach plum","Breaking leaf buds",2017-04-18,108,0,39,0
"425",7936,78598,"Site E","beach plum","Breaking leaf buds",2017-04-27,117,0,39,0
"426",7937,78599,"Site E","beach plum","Breaking leaf buds",2017-05-03,123,0,39,0
"427",7938,78600,"Site E","beach plum","Breaking leaf buds",2017-05-09,129,0,39,0
"428",7939,78601,"Site E","beach plum","Breaking leaf buds",2017-05-16,136,0,39,0
"429",7940,78602,"Site E","beach plum","Breaking leaf buds",2017-05-22,142,0,39,0
"430",7941,78603,"Site E","beach plum","Breaking leaf buds",2017-05-30,150,1,39,2
"431",7942,78604,"Site E","beach plum","Breaking leaf buds",2017-06-07,158,1,39,3
"432",7943,78605,"Site E","beach plum","Breaking leaf buds",2017-06-13,164,1,39,3
"433",7944,78606,"Site E","beach plum","Breaking leaf buds",2017-06-16,167,1,39,2
"435",7946,78608,"Site E","beach plum","Breaking leaf buds",2017-06-23,174,1,39,2
"436",7947,78609,"Site E","beach plum","Breaking leaf buds",2017-06-27,178,1,39,3
"437",7948,78610,"Site E","beach plum","Breaking leaf buds",2017-06-29,180,1,39,2
"438",7949,78611,"Site E","beach plum","Breaking leaf buds",2017-07-06,187,1,39,2
"439",7950,78612,"Site E","beach plum","Breaking leaf buds",2017-07-10,191,1,39,1
"440",7951,78613,"Site E","beach plum","Breaking leaf buds",2017-07-14,195,1,39,1
"441",7952,78614,"Site E","beach plum","Breaking leaf buds",2017-07-18,199,1,39,1
"442",7953,78615,"Site E","beach plum","Breaking leaf buds",2017-07-21,202,1,39,1
"443",7954,78616,"Site E","beach plum","Breaking leaf buds",2017-07-26,207,0,39,0
"444",7955,78617,"Site E","beach plum","Breaking leaf buds",2017-07-31,212,0,39,0
"445",7956,78618,"Site E","beach plum","Breaking leaf buds",2017-08-04,216,0,39,0
"446",7957,78619,"Site E","beach plum","Breaking leaf buds",2017-08-08,220,0,39,0
"447",7958,78620,"Site E","beach plum","Breaking leaf buds",2017-08-11,223,0,39,0
"448",7959,78621,"Site E","beach plum","Breaking leaf buds",2017-08-14,226,0,39,0
"449",7960,78622,"Site E","beach plum","Breaking leaf buds",2017-08-22,234,0,39,0
"450",7961,78623,"Site E","beach plum","Breaking leaf buds",2017-08-25,237,0,39,0
"451",7962,78624,"Site E","beach plum","Breaking leaf buds",2017-08-18,230,0,39,0
"452",7963,78625,"Site E","beach plum","Breaking leaf buds",2017-11-15,319,0,39,0
"453",7964,78626,"Site E","beach plum","Breaking leaf buds",2017-09-18,261,0,39,0
"454",7965,78627,"Site E","beach plum","Breaking leaf buds",2017-09-12,255,0,39,0
"456",7967,78629,"Site E","beach plum","Breaking leaf buds",2017-10-23,296,0,39,0
