,X,Site_Name,Common_Name,Phenophase_Name,Observation_Date,Day_of_Year,Phenophase_Status,Intensity_Category_ID,Intensity_Value
11484,118183,Site G,beach plum,Breaking leaf buds,10/8/2015,281,0,39,0
11485,118184,Site G,beach plum,Breaking leaf buds,10/13/2015,286,0,39,0
11486,118185,Site G,beach plum,Breaking leaf buds,10/15/2015,288,0,39,0
11487,118186,Site G,beach plum,Breaking leaf buds,10/20/2015,293,0,39,0
11488,118187,Site G,beach plum,Breaking leaf buds,10/22/2015,295,0,39,0
11489,118188,Site G,beach plum,Breaking leaf buds,10/27/2015,300,0,39,0
11490,118189,Site G,beach plum,Breaking leaf buds,5/17/2016,138,1,39,2
11491,118190,Site G,beach plum,Breaking leaf buds,5/23/2016,144,1,39,5
11492,118191,Site G,beach plum,Breaking leaf buds,5/6/2016,127,0,39,0
11493,118192,Site G,beach plum,Breaking leaf buds,4/27/2016,118,0,39,0
11494,118193,Site G,beach plum,Breaking leaf buds,4/11/2016,102,0,39,0
11495,118194,Site G,beach plum,Breaking leaf buds,4/22/2016,113,0,39,0
11496,118195,Site G,beach plum,Breaking leaf buds,4/29/2016,120,0,39,0
11497,118196,Site G,beach plum,Breaking leaf buds,5/20/2016,141,1,39,3
11498,118197,Site G,beach plum,Breaking leaf buds,5/31/2016,152,1,39,5
11499,118198,Site G,beach plum,Breaking leaf buds,6/9/2016,161,0,39,0
11500,118199,Site G,beach plum,Breaking leaf buds,6/7/2016,159,1,39,3
11501,118200,Site G,beach plum,Breaking leaf buds,5/26/2016,147,1,39,5
11502,118201,Site G,beach plum,Breaking leaf buds,6/14/2016,166,0,39,0
11503,118202,Site G,beach plum,Breaking leaf buds,6/3/2016,155,1,39,5
11504,118203,Site G,beach plum,Breaking leaf buds,6/16/2016,168,0,39,0
11505,118204,Site G,beach plum,Breaking leaf buds,5/13/2016,134,0,39,0
11506,118205,Site G,beach plum,Breaking leaf buds,4/21/2016,112,0,39,0
11507,118206,Site G,beach plum,Breaking leaf buds,4/15/2016,106,0,39,0
11508,118207,Site G,beach plum,Breaking leaf buds,3/20/2016,80,0,39,0
11509,118208,Site G,beach plum,Breaking leaf buds,6/21/2016,173,0,39,0
11510,118209,Site G,beach plum,Breaking leaf buds,6/28/2016,180,1,39,3
11511,118210,Site G,beach plum,Breaking leaf buds,6/30/2016,182,0,39,0
11512,118211,Site G,beach plum,Breaking leaf buds,7/5/2016,187,0,39,0
11513,118212,Site G,beach plum,Breaking leaf buds,7/7/2016,189,0,39,0
11514,118213,Site G,beach plum,Breaking leaf buds,7/11/2016,193,0,39,0
11515,118214,Site G,beach plum,Breaking leaf buds,7/13/2016,195,0,39,0
11516,118215,Site G,beach plum,Breaking leaf buds,7/19/2016,201,0,39,0
11517,118216,Site G,beach plum,Breaking leaf buds,7/21/2016,203,0,39,0
11518,118217,Site G,beach plum,Breaking leaf buds,7/26/2016,208,0,39,0
11519,118218,Site G,beach plum,Breaking leaf buds,7/28/2016,210,0,39,0
11520,118219,Site G,beach plum,Breaking leaf buds,8/4/2016,217,0,39,0
11521,118220,Site G,beach plum,Breaking leaf buds,8/9/2016,222,0,39,0
11522,118221,Site G,beach plum,Breaking leaf buds,8/16/2016,229,0,39,0
11523,118222,Site G,beach plum,Breaking leaf buds,8/18/2016,231,0,39,0
11524,118223,Site G,beach plum,Breaking leaf buds,8/25/2016,238,0,39,0
11525,118224,Site G,beach plum,Breaking leaf buds,8/30/2016,243,0,39,0
11526,118225,Site G,beach plum,Breaking leaf buds,9/8/2016,252,0,39,0
11527,118226,Site G,beach plum,Breaking leaf buds,9/13/2016,257,0,39,0
11528,118227,Site G,beach plum,Breaking leaf buds,9/21/2016,265,0,39,0
11529,118228,Site G,beach plum,Breaking leaf buds,10/5/2016,279,0,39,0
11530,118229,Site G,beach plum,Breaking leaf buds,10/20/2016,294,0,39,0
11531,118230,Site G,beach plum,Breaking leaf buds,8/13/2015,225,0,39,0
11532,118231,Site G,beach plum,Breaking leaf buds,4/3/2017,93,0,39,0
11533,118232,Site G,beach plum,Breaking leaf buds,4/11/2017,101,0,39,0
11534,118233,Site G,beach plum,Breaking leaf buds,4/18/2017,108,0,39,0
11535,118234,Site G,beach plum,Breaking leaf buds,4/27/2017,117,0,39,0
11536,118235,Site G,beach plum,Breaking leaf buds,5/3/2017,123,0,39,0
11537,118236,Site G,beach plum,Breaking leaf buds,5/9/2017,129,0,39,0
11538,118237,Site G,beach plum,Breaking leaf buds,5/16/2017,136,1,39,3
11539,118238,Site G,beach plum,Breaking leaf buds,5/19/2017,139,1,39,4
11540,118239,Site G,beach plum,Breaking leaf buds,5/22/2017,142,1,39,4
11541,118240,Site G,beach plum,Breaking leaf buds,5/30/2017,150,1,39,5
11542,118241,Site G,beach plum,Breaking leaf buds,6/7/2017,158,1,39,5
11543,118242,Site G,beach plum,Breaking leaf buds,6/13/2017,164,1,39,3
11544,118243,Site G,beach plum,Breaking leaf buds,6/16/2017,167,1,39,3
11545,118244,Site G,beach plum,Breaking leaf buds,5/14/2015,134,0,39,0
11546,118245,Site G,beach plum,Breaking leaf buds,6/23/2017,174,1,39,4
11547,118246,Site G,beach plum,Breaking leaf buds,6/27/2017,178,1,39,4
11548,118247,Site G,beach plum,Breaking leaf buds,6/29/2017,180,1,39,4
11549,118248,Site G,beach plum,Breaking leaf buds,7/6/2017,187,1,39,3
11550,118249,Site G,beach plum,Breaking leaf buds,7/10/2017,191,1,39,3
11551,118250,Site G,beach plum,Breaking leaf buds,7/14/2017,195,1,39,3
11552,118251,Site G,beach plum,Breaking leaf buds,7/18/2017,199,1,39,3
11553,118252,Site G,beach plum,Breaking leaf buds,7/21/2017,202,1,39,3
11554,118253,Site G,beach plum,Breaking leaf buds,7/26/2017,207,1,39,2
11555,118254,Site G,beach plum,Breaking leaf buds,7/31/2017,212,0,39,0
11556,118255,Site G,beach plum,Breaking leaf buds,8/4/2017,216,0,39,0
11557,118256,Site G,beach plum,Breaking leaf buds,8/8/2017,220,0,39,0
11558,118257,Site G,beach plum,Breaking leaf buds,8/11/2017,223,1,39,1
11559,118258,Site G,beach plum,Breaking leaf buds,8/14/2017,226,0,39,0
11560,118259,Site G,beach plum,Breaking leaf buds,8/22/2017,234,0,39,0
11561,118260,Site G,beach plum,Breaking leaf buds,8/25/2017,237,0,39,0
11562,118261,Site G,beach plum,Breaking leaf buds,8/18/2017,230,0,39,0
11563,118262,Site G,beach plum,Breaking leaf buds,11/15/2017,319,0,39,0
11564,118263,Site G,beach plum,Breaking leaf buds,9/18/2017,261,0,39,0
11565,118264,Site G,beach plum,Breaking leaf buds,9/12/2017,255,0,39,0
11566,118265,Site G,beach plum,Breaking leaf buds,3/20/2018,79,0,39,0
11567,118266,Site G,beach plum,Breaking leaf buds,10/23/2017,296,0,39,0
11568,118267,Site G,beach plum,Breaking leaf buds,5/15/2018,135,1,39,4
11569,118268,Site G,beach plum,Breaking leaf buds,4/24/2018,114,0,39,0
11570,118269,Site G,beach plum,Breaking leaf buds,4/9/2018,99,0,39,0
11571,118270,Site G,beach plum,Breaking leaf buds,5/2/2018,122,0,39,0
11572,118271,Site G,beach plum,Breaking leaf buds,5/8/2018,128,0,39,0
11573,118272,Site G,beach plum,Breaking leaf buds,5/11/2018,131,0,39,0
11574,118273,Site G,beach plum,Breaking leaf buds,5/21/2018,141,1,39,5
11575,118274,Site G,beach plum,Breaking leaf buds,5/29/2018,149,1,39,6
11576,118275,Site G,beach plum,Breaking leaf buds,5/25/2018,145,1,39,3
11577,118276,Site G,beach plum,Breaking leaf buds,6/5/2018,156,1,39,3
11578,118277,Site G,beach plum,Breaking leaf buds,6/8/2018,159,1,39,5
11579,118278,Site G,beach plum,Breaking leaf buds,6/14/2018,165,1,39,4
11580,118279,Site G,beach plum,Breaking leaf buds,6/18/2018,169,1,39,5
11581,118280,Site G,beach plum,Breaking leaf buds,6/21/2018,172,1,39,5
11582,118281,Site G,beach plum,Breaking leaf buds,6/25/2018,176,0,39,0
11583,118282,Site G,beach plum,Breaking leaf buds,6/29/2018,180,1,39,5
11584,118283,Site G,beach plum,Breaking leaf buds,7/2/2018,183,0,39,0
11585,118284,Site G,beach plum,Breaking leaf buds,7/6/2018,187,0,39,0
11586,118285,Site G,beach plum,Breaking leaf buds,7/9/2018,190,0,39,0
11587,118286,Site G,beach plum,Breaking leaf buds,7/13/2018,194,0,39,0
11588,118287,Site G,beach plum,Breaking leaf buds,7/16/2018,197,0,39,0
11589,118288,Site G,beach plum,Breaking leaf buds,7/20/2018,201,0,39,0
11590,118289,Site G,beach plum,Breaking leaf buds,7/23/2018,204,0,39,0
11591,118290,Site G,beach plum,Breaking leaf buds,7/27/2018,208,0,39,0
11592,118291,Site G,beach plum,Breaking leaf buds,8/1/2018,213,0,39,0
11593,118292,Site G,beach plum,Breaking leaf buds,8/6/2018,218,0,39,0
11594,118293,Site G,beach plum,Breaking leaf buds,8/9/2018,221,0,39,0
11595,118294,Site G,beach plum,Breaking leaf buds,8/13/2018,225,0,39,0
11596,118295,Site G,beach plum,Breaking leaf buds,4/16/2015,106,0,39,0
11597,118296,Site G,beach plum,Breaking leaf buds,4/9/2015,99,0,39,0
11598,118297,Site G,beach plum,Breaking leaf buds,4/14/2015,104,0,39,0
11599,118298,Site G,beach plum,Breaking leaf buds,4/21/2015,111,0,39,0
11600,118299,Site G,beach plum,Breaking leaf buds,4/28/2015,118,0,39,0
11601,118300,Site G,beach plum,Breaking leaf buds,4/30/2015,120,0,39,0
11602,118301,Site G,beach plum,Breaking leaf buds,5/5/2015,125,0,39,0
11603,118302,Site G,beach plum,Breaking leaf buds,5/12/2015,132,0,39,0
11604,118303,Site G,beach plum,Breaking leaf buds,4/23/2015,113,0,39,0
11605,118304,Site G,beach plum,Breaking leaf buds,5/7/2015,127,0,39,0
11606,118305,Site G,beach plum,Breaking leaf buds,5/26/2015,146,1,39,3
11607,118306,Site G,beach plum,Breaking leaf buds,5/28/2015,148,0,39,0
11608,118307,Site G,beach plum,Breaking leaf buds,6/2/2015,153,1,39,3
11609,118308,Site G,beach plum,Breaking leaf buds,6/4/2015,155,1,39,3
11610,118309,Site G,beach plum,Breaking leaf buds,6/9/2015,160,0,39,0
11611,118310,Site G,beach plum,Breaking leaf buds,6/11/2015,162,1,39,3
11612,118311,Site G,beach plum,Breaking leaf buds,6/16/2015,167,1,39,4
11613,118312,Site G,beach plum,Breaking leaf buds,6/18/2015,169,1,39,3
11614,118313,Site G,beach plum,Breaking leaf buds,6/23/2015,174,1,39,3
11615,118314,Site G,beach plum,Breaking leaf buds,7/2/2015,183,1,39,3
11616,118315,Site G,beach plum,Breaking leaf buds,7/7/2015,188,0,39,0
11617,118316,Site G,beach plum,Breaking leaf buds,7/9/2015,190,0,39,0
11618,118317,Site G,beach plum,Breaking leaf buds,7/16/2015,197,0,39,0
11619,118318,Site G,beach plum,Breaking leaf buds,6/30/2015,181,1,39,3
11620,118319,Site G,beach plum,Breaking leaf buds,7/28/2015,209,0,39,0
11621,118320,Site G,beach plum,Breaking leaf buds,7/23/2015,204,0,39,0
11622,118321,Site G,beach plum,Breaking leaf buds,8/4/2015,216,0,39,0
11623,118322,Site G,beach plum,Breaking leaf buds,8/6/2015,218,0,39,0
11624,118323,Site G,beach plum,Breaking leaf buds,8/20/2015,232,0,39,0
11625,118324,Site G,beach plum,Breaking leaf buds,9/1/2015,244,0,39,0
11626,118325,Site G,beach plum,Breaking leaf buds,8/25/2015,237,0,39,0
11627,118326,Site G,beach plum,Breaking leaf buds,8/27/2015,239,0,39,0
11628,118327,Site G,beach plum,Breaking leaf buds,9/3/2015,246,0,39,0
11629,118328,Site G,beach plum,Breaking leaf buds,9/10/2015,253,0,39,0
11630,118329,Site G,beach plum,Breaking leaf buds,9/8/2015,251,0,39,0
11631,118330,Site G,beach plum,Breaking leaf buds,9/15/2015,258,0,39,0
11632,118331,Site G,beach plum,Breaking leaf buds,9/24/2015,267,0,39,0
11633,118332,Site G,beach plum,Breaking leaf buds,9/29/2015,272,0,39,0
11634,118333,Site G,beach plum,Breaking leaf buds,9/22/2015,265,0,39,0
11635,118334,Site G,beach plum,Breaking leaf buds,6/25/2015,176,1,39,3
11636,118335,Site G,beach plum,Breaking leaf buds,10/6/2015,279,0,39,0
11637,118336,Site G,beach plum,Breaking leaf buds,10/8/2015,281,0,39,0
11638,118337,Site G,beach plum,Breaking leaf buds,10/13/2015,286,0,39,0
11639,118338,Site G,beach plum,Breaking leaf buds,10/15/2015,288,0,39,0
11640,118339,Site G,beach plum,Breaking leaf buds,10/20/2015,293,0,39,0
11641,118340,Site G,beach plum,Breaking leaf buds,10/22/2015,295,0,39,0
11642,118341,Site G,beach plum,Breaking leaf buds,10/27/2015,300,0,39,0
11643,118342,Site G,beach plum,Breaking leaf buds,5/17/2016,138,0,39,0
11644,118343,Site G,beach plum,Breaking leaf buds,5/23/2016,144,1,39,4
11645,118344,Site G,beach plum,Breaking leaf buds,5/6/2016,127,0,39,0
11646,118345,Site G,beach plum,Breaking leaf buds,4/27/2016,118,0,39,0
11647,118346,Site G,beach plum,Breaking leaf buds,4/11/2016,102,0,39,0
11648,118347,Site G,beach plum,Breaking leaf buds,4/22/2016,113,0,39,0
11649,118348,Site G,beach plum,Breaking leaf buds,4/29/2016,120,0,39,0
11650,118349,Site G,beach plum,Breaking leaf buds,5/20/2016,141,1,39,3
11651,118350,Site G,beach plum,Breaking leaf buds,5/31/2016,152,1,39,5
11652,118351,Site G,beach plum,Breaking leaf buds,6/9/2016,161,1,39,4
11653,118352,Site G,beach plum,Breaking leaf buds,6/7/2016,159,1,39,4
11654,118353,Site G,beach plum,Breaking leaf buds,5/26/2016,147,1,39,4
11655,118354,Site G,beach plum,Breaking leaf buds,6/14/2016,166,0,39,0
11656,118355,Site G,beach plum,Breaking leaf buds,6/3/2016,155,1,39,5
11657,118356,Site G,beach plum,Breaking leaf buds,6/16/2016,168,0,39,0
11658,118357,Site G,beach plum,Breaking leaf buds,5/13/2016,134,0,39,0
11659,118358,Site G,beach plum,Breaking leaf buds,4/21/2016,112,0,39,0
11660,118359,Site G,beach plum,Breaking leaf buds,4/15/2016,106,0,39,0
11661,118360,Site G,beach plum,Breaking leaf buds,3/20/2016,80,0,39,0
11662,118361,Site G,beach plum,Breaking leaf buds,6/21/2016,173,0,39,0
11663,118362,Site G,beach plum,Breaking leaf buds,6/28/2016,180,0,39,0
11664,118363,Site G,beach plum,Breaking leaf buds,6/30/2016,182,0,39,0
11665,118364,Site G,beach plum,Breaking leaf buds,7/5/2016,187,0,39,0
11666,118365,Site G,beach plum,Breaking leaf buds,7/7/2016,189,0,39,0
11667,118366,Site G,beach plum,Breaking leaf buds,7/11/2016,193,0,39,0
11668,118367,Site G,beach plum,Breaking leaf buds,7/13/2016,195,0,39,0
11669,118368,Site G,beach plum,Breaking leaf buds,7/19/2016,201,0,39,0
11670,118369,Site G,beach plum,Breaking leaf buds,7/21/2016,203,0,39,0
11671,118370,Site G,beach plum,Breaking leaf buds,7/26/2016,208,0,39,0
11672,118371,Site G,beach plum,Breaking leaf buds,7/28/2016,210,0,39,0
11673,118372,Site G,beach plum,Breaking leaf buds,8/4/2016,217,0,39,0
11674,118373,Site G,beach plum,Breaking leaf buds,8/9/2016,222,0,39,0
11675,118374,Site G,beach plum,Breaking leaf buds,8/16/2016,229,0,39,0
11676,118375,Site G,beach plum,Breaking leaf buds,8/18/2016,231,0,39,0
11677,118376,Site G,beach plum,Breaking leaf buds,8/25/2016,238,0,39,0
11678,118377,Site G,beach plum,Breaking leaf buds,8/30/2016,243,0,39,0
11679,118378,Site G,beach plum,Breaking leaf buds,9/8/2016,252,0,39,0
11680,118379,Site G,beach plum,Breaking leaf buds,9/13/2016,257,0,39,0
11681,118380,Site G,beach plum,Breaking leaf buds,9/21/2016,265,0,39,0
11682,118381,Site G,beach plum,Breaking leaf buds,10/5/2016,279,0,39,0
11683,118382,Site G,beach plum,Breaking leaf buds,10/20/2016,294,0,39,0
11684,118383,Site G,beach plum,Breaking leaf buds,8/13/2015,225,0,39,0
11685,118384,Site G,beach plum,Breaking leaf buds,4/3/2017,93,0,39,0
11686,118385,Site G,beach plum,Breaking leaf buds,4/11/2017,101,0,39,0
11687,118386,Site G,beach plum,Breaking leaf buds,4/18/2017,108,0,39,0
11688,118387,Site G,beach plum,Breaking leaf buds,4/27/2017,117,0,39,0
11689,118388,Site G,beach plum,Breaking leaf buds,5/3/2017,123,0,39,0
11690,118389,Site G,beach plum,Breaking leaf buds,5/9/2017,129,0,39,0
11691,118390,Site G,beach plum,Breaking leaf buds,5/16/2017,136,0,39,0
11692,118391,Site G,beach plum,Breaking leaf buds,5/19/2017,139,1,39,3
11693,118392,Site G,beach plum,Breaking leaf buds,5/22/2017,142,1,39,3
11694,118393,Site G,beach plum,Breaking leaf buds,5/30/2017,150,1,39,4
11695,118394,Site G,beach plum,Breaking leaf buds,6/7/2017,158,1,39,5
11696,118395,Site G,beach plum,Breaking leaf buds,6/13/2017,164,1,39,4
11697,118396,Site G,beach plum,Breaking leaf buds,6/16/2017,167,1,39,5
11698,118397,Site G,beach plum,Breaking leaf buds,5/14/2015,134,0,39,0
11699,118398,Site G,beach plum,Breaking leaf buds,6/23/2017,174,1,39,4
11700,118399,Site G,beach plum,Breaking leaf buds,6/27/2017,178,1,39,3
11701,118400,Site G,beach plum,Breaking leaf buds,6/29/2017,180,1,39,3
11702,118401,Site G,beach plum,Breaking leaf buds,7/6/2017,187,1,39,2
11703,118402,Site G,beach plum,Breaking leaf buds,7/10/2017,191,1,39,2
11704,118403,Site G,beach plum,Breaking leaf buds,7/14/2017,195,1,39,2
11705,118404,Site G,beach plum,Breaking leaf buds,7/18/2017,199,1,39,2
11706,118405,Site G,beach plum,Breaking leaf buds,7/21/2017,202,1,39,2
11707,118406,Site G,beach plum,Breaking leaf buds,7/26/2017,207,0,39,0
11708,118407,Site G,beach plum,Breaking leaf buds,7/31/2017,212,1,39,1
11709,118408,Site G,beach plum,Breaking leaf buds,8/4/2017,216,0,39,0
11710,118409,Site G,beach plum,Breaking leaf buds,8/8/2017,220,0,39,0
11711,118410,Site G,beach plum,Breaking leaf buds,8/11/2017,223,0,39,0
11712,118411,Site G,beach plum,Breaking leaf buds,8/14/2017,226,0,39,0
11713,118412,Site G,beach plum,Breaking leaf buds,8/22/2017,234,0,39,0
11714,118413,Site G,beach plum,Breaking leaf buds,8/25/2017,237,0,39,0
11715,118414,Site G,beach plum,Breaking leaf buds,8/18/2017,230,0,39,0
11716,118415,Site G,beach plum,Breaking leaf buds,11/15/2017,319,0,39,0
11717,118416,Site G,beach plum,Breaking leaf buds,9/12/2017,255,0,39,0
11718,118417,Site G,beach plum,Breaking leaf buds,3/20/2018,79,0,39,0
11719,118418,Site G,beach plum,Breaking leaf buds,10/23/2017,296,0,39,0
11720,118419,Site G,beach plum,Breaking leaf buds,5/15/2018,135,0,39,0
11721,118420,Site G,beach plum,Breaking leaf buds,4/24/2018,114,0,39,0
11722,118421,Site G,beach plum,Breaking leaf buds,4/9/2018,99,0,39,0
11723,118422,Site G,beach plum,Breaking leaf buds,5/2/2018,122,0,39,0
11724,118423,Site G,beach plum,Breaking leaf buds,5/8/2018,128,0,39,0
11725,118424,Site G,beach plum,Breaking leaf buds,5/11/2018,131,0,39,0
11726,118425,Site G,beach plum,Breaking leaf buds,5/21/2018,141,0,39,0
11727,118426,Site G,beach plum,Breaking leaf buds,5/29/2018,149,1,39,3
11728,118427,Site G,beach plum,Breaking leaf buds,5/25/2018,145,1,39,4
11729,118428,Site G,beach plum,Breaking leaf buds,6/5/2018,156,1,39,4
11730,118429,Site G,beach plum,Breaking leaf buds,6/8/2018,159,1,39,6
11731,118430,Site G,beach plum,Breaking leaf buds,6/14/2018,165,1,39,5
11732,118431,Site G,beach plum,Breaking leaf buds,6/18/2018,169,1,39,4
11733,118432,Site G,beach plum,Breaking leaf buds,6/21/2018,172,1,39,6
11734,118433,Site G,beach plum,Breaking leaf buds,6/25/2018,176,1,39,5
11735,118434,Site G,beach plum,Breaking leaf buds,6/29/2018,180,1,39,4
11736,118435,Site G,beach plum,Breaking leaf buds,7/2/2018,183,0,39,0
